ranking,nombre,puntuacion,votos,tipo,episodios,duracion,demografia,source,rating_edad,miembros,favoritos
62,Hibike! Euphonium 3,8.71,,TV,13,24 min. per ep.,,Drama,PG-13 - Teens 13 or older,"88,306","1,744"
63,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.70,,TV,13,24 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"365,315","4,842"
64,Code Geass: Hangyaku no Lelouch,8.70,,TV,25,24 min. per ep.,,Action,R - 17+ (violence & profanity),"2,379,697","113,127"
65,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.70,,TV,12,24 min. per ep.,Josei,Manga,PG-13 - Teens 13 or older,"197,459","3,201"
66,Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.70,,TV,13,23 min. per ep.,,Web manga,R - 17+ (violence & profanity),"620,888","10,063"
67,Mushishi Zoku Shou,8.69,,TV,10,24 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"317,769","1,629"
68,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.69,,OVA,4,29 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"287,616","6,394"
69,Violet Evergarden,8.68,,TV,13,24 min. per ep.,,Light novel,PG-13 - Teens 13 or older,"1,912,055","66,171"
70,Great Teacher Onizuka,8.68,,TV,43,25 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"883,778","27,758"
71,Mo Dao Zu Shi: Wanjie Pian,8.68,,ONA,12,24 min. per ep.,,Action,R - 17+ (violence & profanity),"91,565","1,689"
72,Mononoke Hime,8.67,,Movie,1,2 hr. 13 min.,,Action,PG-13 - Teens 13 or older,"1,332,313","23,367"
73,Bleach: Sennen Kessen-hen - Soukoku-tan,8.67,,TV,14,24 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"243,678","3,344"
74,Hajime no Ippo: New Challenger,8.67,,TV,26,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"311,797","1,900"
75,Howl no Ugoku Shiro,8.67,,Movie,1,1 hr. 59 min.,,Adventure,G - All Ages,"1,431,566","30,823"
76,Monogatari Series: Off & Monster Season,8.66,,ONA,14,25 min. per ep.,,Light novel,R - 17+ (violence & profanity),"91,366",829
77,Mushishi,8.65,,TV,26,23 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"876,394","27,767"
78,Shiguang Dailiren II,8.65,,ONA,12,24 min. per ep.,,Drama,R - 17+ (violence & profanity),"151,904","2,017"
79,Tian Guan Cifu Er,8.65,,ONA,12,24 min. per ep.,,Action,PG-13 - Teens 13 or older,"58,063","1,221"
80,Shigatsu wa Kimi no Uso,8.64,,TV,22,22 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"2,339,079","88,471"
81,Tengen Toppa Gurren Lagann,8.64,,TV,27,24 min. per ep.,,Action,PG-13 - Teens 13 or older,"1,703,410","81,975"
82,Look Back,8.64,,Movie,1,57 min.,Shounen,Manga,PG-13 - Teens 13 or older,"179,543","3,487"
83,Odd Taxi,8.64,,TV,13,23 min. per ep.,,Award Winning,PG-13 - Teens 13 or older,"481,285","8,886"
84,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.64,,Movie,1,2 hr. 2 min.,,Action,R - 17+ (violence & profanity),"385,011","8,338"
85,Shingeki no Kyojin Season 3,8.63,,TV,12,23 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"2,543,935","21,628"
86,Made in Abyss,8.63,,TV,13,25 min. per ep.,,Web manga,R - 17+ (violence & profanity),"1,486,767","46,480"
87,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.63,,TV,12,23 min. per ep.,,Light novel,R - 17+ (violence & profanity),"1,050,438","19,053"
88,Natsume Yuujinchou Shi,8.63,,TV,13,24 min. per ep.,Shoujo,Manga,PG-13 - Teens 13 or older,"260,013","2,081"
89,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62,,TV,12,24 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"1,438,005","18,943"
90,Ping Pong the Animation,8.62,,TV,11,23 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"422,059","16,843"
91,Bungou Stray Dogs 5th Season,8.62,,TV,11,23 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"232,804","2,773"
92,Death Note,8.62,,TV,37,23 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"4,130,488","180,588"
93,Haikyuu!! Second Season,8.62,,TV,25,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"1,515,449","15,979"
94,Cyberpunk: Edgerunners,8.61,,ONA,10,25 min. per ep.,,Action,R+ - Mild Nudity,"928,894","31,119"
95,Haikyuu!! Movie: Gomisuteba no Kessen,8.61,,Movie,1,1 hr. 24 min.,Shounen,Manga,PG-13 - Teens 13 or older,"192,332","1,552"
96,Hajime no Ippo: Rising,8.61,,TV,25,22 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"284,830","1,387"
97,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61,,Movie,1,1 hr. 45 min.,,Web manga,R - 17+ (violence & profanity),"509,794","3,855"
98,Made in Abyss: Retsujitsu no Ougonkyou,8.61,,TV,12,25 min. per ep.,,Web manga,R - 17+ (violence & profanity),"505,568","6,674"
99,Natsume Yuujinchou Roku,8.61,,TV,11,23 min. per ep.,Shoujo,Manga,PG-13 - Teens 13 or older,"200,085","1,141"
100,Kenpuu Denki Berserk,8.60,,TV,25,23 min. per ep.,Seinen,Manga,R+ - Mild Nudity,"725,205","30,129"
101,Dungeon Meshi,8.60,,TV,24,25 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"498,913","10,207"
102,Guimi Zhi Zhu: Xiaochou Pian,8.60,,ONA,13,35 min. per ep.,,Action,R - 17+ (violence & profanity),"76,988","1,222"
103,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59,,Movie,1,1 hr. 30 min.,,Light novel,PG-13 - Teens 13 or older,"773,816","10,816"
104,Suzumiya Haruhi no Shoushitsu,8.59,,Movie,1,2 hr. 41 min.,,Light novel,PG-13 - Teens 13 or older,"634,459","13,937"
105,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.59,,Movie,1,2 hr. 5 min.,,Action,R+ - Mild Nudity,"230,374","1,131"
106,Shin Evangelion Movie:||,8.58,,Movie,1,2 hr. 35 min.,,Action,PG-13 - Teens 13 or older,"405,179","7,994"
107,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,,TV,39,23 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"1,106,892","33,622"
108,Mushishi Zoku Shou: Suzu no Shizuku,8.58,,Movie,1,47 min.,Seinen,Manga,PG-13 - Teens 13 or older,"137,072",234
109,Natsume Yuujinchou Shichi,8.57,,TV,12,23 min. per ep.,Shoujo,Manga,PG-13 - Teens 13 or older,"51,120",484
110,[Oshi no Ko],8.57,,TV,11,30 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"963,176","30,411"
111,Doupo Cangqiong: San Nian Zhi Yue,8.57,,ONA,13,24 min. per ep.,,Action,PG-13 - Teens 13 or older,"10,600",204
